speed;age;miles;group
126.0;54.0;41.0;2
149.0;40.0;52.0;0
135.0;66.0;57.0;2
139.0;45.0;27.0;1
111.0;44.0;25.0;1
109.0;30.0;17.0;2
115.0;61.0;28.0;0
128.0;29.0;32.0;0
127.0;41.0;50.0;2
120.0;74.0;19.0;0
149.0;33.0;46.0;0
122.0;77.0;32.0;2
116.0;64.0;26.0;0
115.0;49.0;18.0;1
130.0;63.0;38.0;2
111.0;74.0;16.0;0
146.0;34.0;55.0;0
124.0;75.0;31.0;0
127.0;36.0;34.0;2
99.0;28.0;22.0;2
108.0;47.0;12.0;2
97.0;43.0;36.0;1
122.0;47.0;34.0;0
145.0;45.0;33.0;1
145.0;38.0;49.0;0
126.0;46.0;35.0;0
128.0;45.0;58.0;2
106.0;59.0;1.0;2
143.0;44.0;50.0;2
114.0;74.0;17.0;0
96.0;24.0;15.0;2
135.0;68.0;45.0;2
123.0;36.0;38.0;0
115.0;68.0;16.0;0
156.0;55.0;37.0;2
116.0;44.0;23.0;1
126.0;44.0;69.0;2
124.0;30.0;29.0;0
114.0;43.0;37.0;2
148.0;38.0;41.0;1
117.0;76.0;21.0;2
139.0;50.0;40.0;2
120.0;18.0;20.0;0
144.0;47.0;43.0;1
151.0;37.0;52.0;0
143.0;62.0;58.0;2
123.0;75.0;3.0;2
140.0;43.0;38.0;1
116.0;72.0;45.0;1
154.0;31.0;61.0;0
140.0;40.0;36.0;1
109.0;31.0;17.0;2
153.0;33.0;50.0;0
113.0;42.0;27.0;1
111.0;16.0;31.0;0
125.0;86.0;15.0;0
108.0;76.0;22.0;0
122.0;59.0;12.0;0
133.0;55.0;48.0;2
136.0;50.0;37.0;2
146.0;58.0;42.0;2
98.0;24.0;15.0;2
101.0;85.0;20.0;0
99.0;46.0;33.0;0
143.0;41.0;40.0;1
148.0;47.0;36.0;1
150.0;51.0;46.0;2
96.0;34.0;21.0;1
132.0;42.0;50.0;2
137.0;43.0;46.0;1
111.0;30.0;22.0;0
145.0;48.0;43.0;2
135.0;37.0;44.0;1
136.0;45.0;32.0;1
131.0;48.0;39.0;1
117.0;44.0;28.0;1
121.0;62.0;13.0;0
113.0;43.0;24.0;1
103.0;28.0;17.0;0
114.0;24.0;7.0;2
128.0;77.0;24.0;0
112.0;62.0;13.0;2
107.0;57.0;19.0;1
103.0;31.0;13.0;2
150.0;30.0;46.0;0
124.0;66.0;44.0;2
103.0;21.0;18.0;2
99.0;37.0;17.0;2
143.0;41.0;32.0;1
141.0;51.0;46.0;2
133.0;80.0;12.0;2
126.0;38.0;45.0;0
91.0;47.0;40.0;1
95.0;53.0;71.0;2
106.0;48.0;24.0;1
146.0;37.0;53.0;0
120.0;76.0;16.0;0
122.0;33.0;41.0;0
111.0;32.0;20.0;2
113.0;58.0;30.0;2
98.0;23.0;16.0;2
96.0;26.0;9.0;2
127.0;79.0;35.0;2
111.0;48.0;18.0;1
153.0;32.0;50.0;0
138.0;43.0;39.0;1
101.0;51.0;26.0;1
132.0;49.0;44.0;1
140.0;51.0;46.0;1
119.0;39.0;9.0;1
106.0;21.0;13.0;2
150.0;37.0;46.0;0
127.0;49.0;58.0;2
155.0;39.0;47.0;0
116.0;36.0;17.0;1
119.0;40.0;15.0;1
100.0;39.0;14.0;1
117.0;39.0;34.0;1
130.0;74.0;13.0;0
124.0;40.0;32.0;2
105.0;23.0;21.0;2
126.0;24.0;46.0;0
137.0;55.0;33.0;2
106.0;63.0;23.0;2
104.0;22.0;14.0;2
155.0;31.0;51.0;0
142.0;61.0;1.0;2
118.0;50.0;36.0;1
146.0;52.0;39.0;1
149.0;37.0;53.0;0
128.0;44.0;23.0;0
106.0;48.0;28.0;1
118.0;56.0;37.0;2
111.0;46.0;48.0;1
124.0;69.0;34.0;0
137.0;68.0;63.0;2
150.0;39.0;46.0;1
108.0;72.0;12.0;0
133.0;40.0;36.0;2
100.0;30.0;13.0;2
101.0;48.0;29.0;1
126.0;40.0;7.0;1
154.0;36.0;54.0;0
154.0;33.0;56.0;0
112.0;44.0;13.0;1
94.0;44.0;30.0;1
153.0;54.0;41.0;1
130.0;59.0;8.0;2
119.0;35.0;39.0;0
127.0;56.0;51.0;2
138.0;16.0;37.0;0
101.0;19.0;2.0;2
114.0;35.0;29.0;2
149.0;36.0;49.0;0
122.0;79.0;23.0;0
92.0;36.0;21.0;2
128.0;19.0;30.0;0
106.0;42.0;2.0;1
111.0;78.0;19.0;0
101.0;23.0;13.0;2
101.0;55.0;4.0;1
125.0;40.0;17.0;0
114.0;51.0;35.0;0
150.0;32.0;49.0;0
108.0;21.0;10.0;2
151.0;36.0;53.0;0
109.0;62.0;18.0;1
154.0;33.0;40.0;0
116.0;43.0;11.0;1
112.0;44.0;23.0;1
119.0;58.0;42.0;2
142.0;28.0;46.0;1
99.0;26.0;11.0;2
113.0;27.0;3.0;2
150.0;29.0;49.0;0
112.0;44.0;18.0;1
133.0;46.0;44.0;2
140.0;43.0;38.0;1
116.0;42.0;31.0;0
109.0;51.0;18.0;1
114.0;22.0;23.0;0
110.0;48.0;26.0;1
62.0;62.0;31.0;2
104.0;38.0;13.0;1
149.0;30.0;57.0;0
152.0;31.0;47.0;0
123.0;48.0;32.0;2
112.0;42.0;34.0;1
116.0;81.0;7.0;0
103.0;53.0;20.0;1
101.0;39.0;44.0;2
92.0;60.0;51.0;2
100.0;43.0;34.0;1
114.0;16.0;34.0;0
111.0;86.0;22.0;0
121.0;33.0;30.0;0
139.0;54.0;44.0;1
148.0;44.0;40.0;1
135.0;47.0;66.0;2
145.0;40.0;43.0;1
