speed;age;miles;group
117.0;41.0;5.0;1
108.0;18.0;15.0;1
107.0;28.0;14.0;2
111.0;43.0;62.0;2
129.0;36.0;42.0;0
144.0;39.0;43.0;1
150.0;39.0;51.0;0
147.0;33.0;36.0;1
123.0;74.0;21.0;0
101.0;45.0;26.0;1
112.0;18.0;38.0;0
106.0;86.0;19.0;0
108.0;36.0;33.0;0
138.0;43.0;38.0;1
151.0;27.0;43.0;0
115.0;60.0;34.0;1
122.0;36.0;27.0;1
107.0;37.0;4.0;1
115.0;33.0;59.0;2
108.0;43.0;17.0;1
105.0;70.0;48.0;2
147.0;33.0;54.0;0
111.0;23.0;13.0;2
121.0;22.0;44.0;0
97.0;55.0;45.0;1
135.0;30.0;57.0;2
110.0;51.0;47.0;1
112.0;53.0;19.0;1
124.0;56.0;18.0;2
130.0;75.0;47.0;2
121.0;52.0;33.0;2
113.0;42.0;26.0;1
112.0;65.0;29.0;0
85.0;52.0;41.0;2
134.0;29.0;29.0;2
115.0;83.0;19.0;0
131.0;37.0;40.0;1
99.0;60.0;32.0;1
149.0;29.0;48.0;0
114.0;67.0;27.0;1
146.0;29.0;51.0;2
121.0;45.0;18.0;0
132.0;83.0;37.0;0
132.0;82.0;19.0;0
115.0;58.0;16.0;0
112.0;39.0;27.0;1
121.0;35.0;36.0;0
95.0;38.0;39.0;2
149.0;36.0;54.0;0
138.0;50.0;37.0;1
150.0;39.0;47.0;0
135.0;28.0;35.0;0
151.0;33.0;52.0;0
114.0;76.0;23.0;0
158.0;74.0;3.0;2
108.0;46.0;30.0;1
120.0;75.0;16.0;0
138.0;69.0;13.0;0
121.0;41.0;31.0;0
129.0;43.0;50.0;2
114.0;42.0;9.0;1
107.0;43.0;24.0;1
97.0;22.0;12.0;2
152.0;33.0;49.0;0
151.0;41.0;48.0;0
127.0;82.0;30.0;0
112.0;57.0;25.0;1
114.0;57.0;42.0;1
100.0;26.0;23.0;2
113.0;57.0;42.0;2
99.0;16.0;42.0;0
129.0;64.0;99.0;2
122.0;75.0;21.0;0
112.0;53.0;19.0;1
120.0;68.0;21.0;0
141.0;45.0;39.0;1
101.0;36.0;19.0;1
125.0;68.0;37.0;0
128.0;69.0;13.0;2
120.0;43.0;34.0;1
154.0;39.0;47.0;0
119.0;39.0;21.0;0
135.0;43.0;42.0;1
97.0;26.0;15.0;2
133.0;35.0;32.0;2
138.0;47.0;42.0;1
118.0;36.0;37.0;0
126.0;70.0;41.0;2
151.0;38.0;51.0;0
161.0;49.0;59.0;2
99.0;21.0;8.0;2
156.0;38.0;48.0;0
140.0;56.0;44.0;2
100.0;46.0;13.0;1
119.0;38.0;6.0;1
122.0;71.0;16.0;0
136.0;53.0;57.0;2
130.0;54.0;39.0;2
102.0;28.0;25.0;2
98.0;23.0;16.0;2
132.0;34.0;50.0;2
111.0;36.0;40.0;0
136.0;45.0;36.0;1
114.0;48.0;31.0;1
110.0;16.0;41.0;0
97.0;28.0;16.0;2
122.0;50.0;66.0;2
97.0;21.0;17.0;2
104.0;19.0;12.0;0
140.0;53.0;42.0;1
143.0;40.0;40.0;1
109.0;48.0;30.0;0
141.0;40.0;43.0;1
106.0;51.0;21.0;2
137.0;17.0;35.0;0
137.0;43.0;37.0;1
100.0;37.0;28.0;1
111.0;40.0;28.0;1
116.0;42.0;15.0;1
137.0;35.0;66.0;2
118.0;73.0;29.0;0
112.0;57.0;14.0;1
105.0;36.0;26.0;1
130.0;63.0;46.0;2
120.0;80.0;18.0;0
111.0;44.0;45.0;2
107.0;32.0;2.0;1
115.0;68.0;22.0;0
132.0;45.0;34.0;1
94.0;47.0;32.0;2
135.0;84.0;16.0;0
130.0;70.0;24.0;0
122.0;33.0;26.0;2
103.0;31.0;19.0;2
112.0;25.0;20.0;0
156.0;34.0;49.0;0
125.0;44.0;26.0;2
95.0;30.0;14.0;2
111.0;78.0;17.0;2
116.0;41.0;32.0;1
123.0;43.0;45.0;2
115.0;45.0;13.0;1
124.0;87.0;19.0;0
140.0;56.0;11.0;2
117.0;42.0;38.0;1
110.0;55.0;47.0;2
125.0;25.0;23.0;0
126.0;20.0;29.0;0
131.0;55.0;32.0;2
137.0;31.0;36.0;2
